Summary,Issue key,modified
SCPM - Cheque Images remain in folder after a Powerfail/Reset,AANDC-1563,- SCPM - Cheque Images remain in folder after a Powerfail/Reset
TAR 444775:  Cheque retract causes two conflicting entries in journal,AANDC-1561,- TAR 444775:  Cheque retract causes two conflicting entries in journal
IP TAR 430376 - IP states that return cheque key can be toggled where it cannot,AANDC-1546,- IP TAR 430376 - IP states that return cheque key can be toggled where it cannot
TAR 444775:  Cheque retract causes two conflicting entries in journal,AANDC-1528,- TAR 444775:  Cheque retract causes two conflicting entries in journal
TAR 444775:  Cheque retract causes two conflicting entries in journal,AANDC-1527,- TAR 444775:  Cheque retract causes two conflicting entries in journal
TAR 423770 - Add more screen not being displayed on cheque summary screen,AANDC-1480,- TAR 423770 - Add more screen not being displayed on cheque summary screen
TAR423770 - Add more screen not being displayed on cheque summary screen,AANDC-1479,- TAR423770 - Add more screen not being displayed on cheque summary screen
CPM - Opteva - Cheque processor functionality not working ( also WN CCDM),AANDC-1387,- CPM - Opteva - Cheque processor functionality not working ( also WN CCDM)
IP GR1T: ANDC Ref Man states that return cheque key can be toggled where it cannot,AANDC-1363,- IP GR1T: ANDC Ref Man states that return cheque key can be toggled where it cannot
TAR 422692:  AA-NDC : CPM cheque jam reported as Fatal with no error recovery attempted,AANDC-1293,- TAR 422692:  AA-NDC : CPM cheque jam reported as Fatal with no error recovery attempted
Update the tracing of BunchChequeAcceptState Next State Numbers in STDATA window of DebugLog,AANDC-1284,- Update the tracing of BunchChequeAcceptState Next State Numbers in STDATA window of DebugLog
Bunch Cheque Accept State: Add a new next state parameter to the BunchChequeAcceptState to distinguish between accepting all cheques and where some cheques have been returned,AANDC-1270,- Bunch Cheque Accept State: Add a new next state parameter to the BunchChequeAcceptState to distinguish between accepting all cheques and where some cheques have been returned
SCPM and CIC - Any data objects i.e. ChequeDetail - should be available cross process not just in AANDC Process,AANDC-1241,- SCPM and CIC - Any data objects i.e. ChequeDetail - should be available cross process not just in AANDC Process
Unsole message are not coming while last transaction are failed and still cheque are in the DPM.,AANDC-1225,- Unsole message are not coming while last transaction are failed and still cheque are in the DPM.
Provide Support for Offline Single Cheque Deposit in Advance NDC,AANDC-1222,- Provide Support for Offline Single Cheque Deposit in Advance NDC
Add Promote flowpoints for CPM/SCPM ChequeInserted and ChequeDeposited,AANDC-1185,- Add Promote flowpoints for CPM/SCPM ChequeInserted and ChequeDeposited
Bunch cheque Auto recovery hangs where no Service provider.,AANDC-1129,- Bunch cheque Auto recovery hangs where no Service provider.
SCPM: BunchChequeFlows Dispose implementation in BunchChequeAcceptFlow does not free resources.,AANDC-1122,- SCPM: BunchChequeFlows Dispose implementation in BunchChequeAcceptFlow does not free resources.
Wrong unsol message is being sent to host when unacceptable cheque was jammed during Retract,AANDC-1106,- Wrong unsol message is being sent to host when unacceptable cheque was jammed during Retract
Additional config detail required regarding support for single cheque SCPM - Tar 404360 ,AANDC-1096,- Additional config detail required regarding support for single cheque SCPM - Tar 404360 
SCPM: ImageMark can store front image twice (before and after endorse) if cheque inserted upside down,AANDC-1091,- SCPM: ImageMark can store front image twice (before and after endorse) if cheque inserted upside down
SCPM: No capture journalling when cheques are cleared using Auto Error Recovery,AANDC-1086,- SCPM: No capture journalling when cheques are cleared using Auto Error Recovery
SCPM: Screen for Wait for Cheques not shown when multiple bunches returned in Close State,AANDC-1082,- SCPM: Screen for Wait for Cheques not shown when multiple bunches returned in Close State
Bunch Cheque Handling State screen 'Wait for More Returned Cheques' Screen not displayed,AANDC-1075,- Bunch Cheque Handling State screen 'Wait for More Returned Cheques' Screen not displayed
"SCPM: When No is selected on the Timeout screen, propose the Cancel exit is taken (instead of the Timeout exit) from the BunchChequeAcceptState",AANDC-1072,"- SCPM: When No is selected on the Timeout screen, propose the Cancel exit is taken (instead of the Timeout exit) from the BunchChequeAcceptState"
SIU Session being opened even though there is no Bunch cheque device,AANDC-1066,- SIU Session being opened even though there is no Bunch cheque device
SCPM: close state can be improved in the way it retains cheques to allow status handler to be simplified,AANDC-1033,- SCPM: close state can be improved in the way it retains cheques to allow status handler to be simplified
SCPM - Cheque Images remain in folder after a Powerfail/Reset,AANDC-1023,- SCPM - Cheque Images remain in folder after a Powerfail/Reset
"SCPM & CPM: For PCI compliance, consider masking even other areas on the cheque",AANDC-1015,"- SCPM & CPM: For PCI compliance, consider masking even other areas on the cheque"
SCPM: Update the Return Cheque FDK option to behave as a toggle,AANDC-1009,- SCPM: Update the Return Cheque FDK option to behave as a toggle
Cheque Accept Fault Display only supports up to 3 bins.,AANDC-1007,- Cheque Accept Fault Display only supports up to 3 bins.
Wrong unsol reported when error occurs while retracting an unacceptable cheque,AANDC-995,- Wrong unsol reported when error occurs while retracting an unacceptable cheque
Require SCPM SP update to allow cheques to be endorsed during retract while doing transaction if there are cheques in the escrow/transport,AANDC-992,- Require SCPM SP update to allow cheques to be endorsed during retract while doing transaction if there are cheques in the escrow/transport
"SCPM: Support uniquely endorsing each cheque in a bunch in the BunchChequeHandling State, for offline bunch cheque deposit",AANDC-936,"- SCPM: Support uniquely endorsing each cheque in a bunch in the BunchChequeHandling State, for offline bunch cheque deposit"
"SCPM: Support for printing multiple cheque images in a transaction receipt, in offline bunch cheque deposit",AANDC-931,"- SCPM: Support for printing multiple cheque images in a transaction receipt, in offline bunch cheque deposit"
Unsole message are not coming while last transaction are failed and still cheque are in the DPM.,AANDC-903,- Unsole message are not coming while last transaction are failed and still cheque are in the DPM.
Correct  unsol message is not reporting to the host when do transaction on DPM with Short cheque,AANDC-900,- Correct  unsol message is not reporting to the host when do transaction on DPM with Short cheque
p00 data is not printing on the receipt when the cheque deposit transaction without image lifting.,AANDC-891,- p00 data is not printing on the receipt when the cheque deposit transaction without image lifting.
"TAR 376710 : INIT DEPOS clears a cheque jam, but leaves device status as fatal",AANDC-830,"- TAR 376710 : INIT DEPOS clears a cheque jam, but leaves device status as fatal"
TAR 373126: Cheque Image is unreadable on USB Receipt Printer,AANDC-821,- TAR 373126: Cheque Image is unreadable on USB Receipt Printer
Cheque Image Scaling - Current scaling function in AANDC seems to lose significant cheque detail. Ricardo has customization that performs a better job.,AANDC-740,- Cheque Image Scaling - Current scaling function in AANDC seems to lose significant cheque detail. Ricardo has customization that performs a better job.
Supervisor -  Cheque processor clear bins display show pre-clear counts.,AANDC-718,- Supervisor -  Cheque processor clear bins display show pre-clear counts.
Opteva - Cheque processor functionality not working ( also WN CCDM),AANDC-715,- Opteva - Cheque processor functionality not working ( also WN CCDM)
No Beep to warn the customer that a cheque has been returned after cancel,AANDC-586,- No Beep to warn the customer that a cheque has been returned after cancel
"SCPM & CIN: When No is selected on the Timeout screen, propose the Cancel exit is taken (instead of the Timeout exit) from the BunchChequeAcceptState",AANDC-109,"- SCPM & CIN: When No is selected on the Timeout screen, propose the Cancel exit is taken (instead of the Timeout exit) from the BunchChequeAcceptState"
[IChqAccptSrv AIModule]: Need a property for Endorsement while retracting the cheques.,AANDC-91,- [IChqAccptSrv AIModule]: Need a property for Endorsement while retracting the cheques.
BunchChequeAcceptService: Endorse cheques which are being retracted on SCPM,AANDC-88,- BunchChequeAcceptService: Endorse cheques which are being retracted on SCPM
ItemAcceptService component should support equivalent functionality as was provided with BunchCheque and Cash Accept Services,AANDC-80,- ItemAcceptService component should support equivalent functionality as was provided with BunchCheque and Cash Accept Services
IItemAcceptService interface should support equivalent functionality as was provided with BunchCheque and Cash Accept Service interfaces,AANDC-79,- IItemAcceptService interface should support equivalent functionality as was provided with BunchCheque and Cash Accept Service interfaces
BunchChqAccptSrv: Cheques jam during ScanCheques operation without service recovery action.,AANDC-4,- BunchChqAccptSrv: Cheques jam during ScanCheques operation without service recovery action.
SCPM: ImageMark can store front image twice (before and after endorse) if cheque inserted upside down,AANDC-3,- SCPM: ImageMark can store front image twice (before and after endorse) if cheque inserted upside down
